question,sql
"What caused these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you explain the reasons for these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the main causes of these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What were the reasons behind the referral breaches during this period?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you provide details on why these referral breaches occurred?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What factors contributed to these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What was the cause for the referral breaches between Friday and Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"Can you tell me why these referral breaches happened?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What led to these referral breaches?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
"What are the reasons for the referral breaches from Friday to Monday?","WITH DateRange AS (
    SELECT 
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 - 11, CAST(GETDATE() AS DATE)) AS StartDate,  -- Adjust - number to choose date
        DATEADD(DAY, -DATEDIFF(DAY, '19000101', GETDATE()) % 7 + 1, CAST(GETDATE() AS DATE)) AS EndDate  -- Following Monday adjust + number to choose date
)
SELECT R.DetainedPersonId, concat(DP.Forename,' ',DP.Surname) as personFullName, R.BreachReasonDateTime, BRT.Name as BreachReasonMain, R.BreachReasonOther
FROM Referrals R
join Maintenance_BreachReasonType BRT on R.BreachReasonId = BRT.Id
join DetainedPersons DP on R.DetainedPersonId = DP.Id
WHERE  BreachReasonId is not null and R.BreachReasonDateTime BETWEEN 
 (SELECT StartDate FROM DateRange) AND 
    DATEADD(HOUR, 6, CAST((SELECT EndDate FROM DateRange) AS DATETIME));"
