question,sql
"How does the referral data from our force area compare to that of other force areas?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"Can you compare the referral statistics in this force area to those in other forces?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"How does the number of referrals in our force area compare to similar forces?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"What is the referral rate in this force area compared to other regions?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"Can you provide a comparison of referrals between our force and other forces?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"How does our force's referral data measure up against other force areas?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"How do the referrals in this force area compare to those in neighboring force areas?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"Can you compare the referral trends in this force area with other forces?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"How does the referral count from this force compare to other similar force areas?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
"What is the difference in referral numbers between our force and other forces?","WITH DailyReferrals AS (
  SELECT 
    CONVERT(DATE, r.ReferralCreatedDateTime) AS ReferralDate,
    COUNT(*) AS NumberOfReferrals,
    p.Name AS PoliceForceName,
    pl.Name AS PoliceForceLocationName
  FROM Referrals r
  JOIN PoliceForceLocations pl ON r.Id = pl.Id
  JOIN PoliceForces p ON pl.PoliceForceId = p.Id
  WHERE 
    r.ReferralCreatedDateTime >= '2023-10-01' AND
    r.ReferralCreatedDateTime < '2023-10-06'
  GROUP BY 
    CONVERT(DATE, r.ReferralCreatedDateTime),
    p.Name,
    pl.Name
)
SELECT
  ReferralDate,
  NumberOfReferrals,
  PoliceForceName,
  PoliceForceLocationName
FROM DailyReferrals
ORDER BY ReferralDate;"
